study,n,processes,wall_avg_s,work_avg_s,seq_baseline_s,speedup,efficiency,zeroes,ones
weak,1000000,1,0.036329,0.028069,0.040700,1.120318,1.120318,431683,568317
weak,2000000,2,0.047415,0.055840,0.071498,1.507926,0.753963,862456,1137544
weak,4000000,4,0.079074,0.153550,0.177490,2.244597,0.561149,1726323,2273677
weak,8000000,8,0.160653,0.394238,0.278555,1.733889,0.216736,3455402,4544598
weak,16000000,16,0.277597,1.232062,0.658014,2.370394,0.148150,6911640,9088360
weak,32000000,32,0.528654,4.310972,1.163809,2.201457,0.068796,13822447,18177553
