n,alloc_avg_s,conversion_avg_s,total_avg_s,zeroes,ones
1000000,0.009092,0.031608,0.040700,431683,568317
2000000,0.015616,0.055882,0.071498,862456,1137544
4000000,0.036154,0.141336,0.177490,1726323,2273677
5000000,0.037623,0.131110,0.168733,2158753,2841247
8000000,0.062179,0.216376,0.278555,3455402,4544598
10000000,0.075754,0.264489,0.340243,4319287,5680713
16000000,0.146275,0.511740,0.658014,6911640,9088360
32000000,0.282360,0.881449,1.163809,13822447,18177553
50000000,0.377393,1.321248,1.698641,21595182,28404818
