study,n,processes,wall_avg_s,work_avg_s,seq_baseline_s,speedup,efficiency,zeroes,ones
strong,10000000,1,0.355451,0.271554,0.340243,0.957215,0.957215,4319287,5680713
strong,10000000,2,0.220705,0.271859,0.340243,1.541619,0.770809,4319287,5680713
strong,10000000,4,0.165345,0.296794,0.340243,2.057780,0.514445,4319287,5680713
strong,10000000,8,0.206811,0.496385,0.340243,1.645191,0.205649,4319287,5680713
strong,10000000,16,0.215841,0.816052,0.340243,1.576357,0.098522,4319287,5680713
strong,10000000,32,0.179126,0.894536,0.340243,1.899465,0.059358,4319287,5680713
