study,n,processes,wall_avg_s,work_avg_s,seq_baseline_s,speedup,efficiency,zeroes,ones
q2,10000000,2,0.218222,0.267959,0.340243,1.559160,0.779580,4319287,5680713
q2,10000000,4,0.158267,0.287923,0.340243,2.149808,0.537452,4319287,5680713
q2,10000000,8,0.186285,0.479246,0.340243,1.826468,0.228309,4319287,5680713
q2,10000000,16,0.153558,0.467044,0.340243,2.215734,0.138483,4319287,5680713
q2,10000000,32,0.181073,0.986904,0.340243,1.879041,0.058720,4319287,5680713
